"","var","rel.inf"
"tmod_max7rmx_spring","tmod_max7rmx_spring",17.8098324929221
"tmax_max7rmx_spring","tmax_max7rmx_spring",12.6614982783065
"tmod_max7rav_spring","tmod_max7rav_spring",9.33974666235884
"tmod_min7rmn_winter","tmod_min7rmn_winter",9.17141916797608
"tmax_max7rav_spring","tmax_max7rav_spring",5.34999520730794
"tmod_avdiff_winter","tmod_avdiff_winter",2.69028254500323
"tmod_min7rmn_summer","tmod_min7rmn_summer",2.67484631137987
"tmax_min7rmn_fall","tmax_min7rmn_fall",1.98606563903378
"tmod_avdiff_spring","tmod_avdiff_spring",1.90218606101223
"tmod_avdiff_fall","tmod_avdiff_fall",1.84681894157074
"tmod_maxdiff_summer","tmod_maxdiff_summer",1.7020843545526
"tmod_max7rmx_fall","tmod_max7rmx_fall",1.48281325635052
"tmod_min7rmn_spring","tmod_min7rmn_spring",1.47977413681193
"tmax_avdiff_spring","tmax_avdiff_spring",1.44536902130317
"tmod_max7rmx_winter","tmod_max7rmx_winter",1.44074204805666
"tmod_avdiff_all","tmod_avdiff_all",1.42040236463785
"tmax_maxdiff_summer","tmax_maxdiff_summer",1.39851281279485
"tmax_min7rmn_winter","tmax_min7rmn_winter",1.32646775872914
"tmod_max7rav_winter","tmod_max7rav_winter",1.25244632085524
"tmod_avdiff_summer","tmod_avdiff_summer",1.21863078177698
"tmax_avdiff_fall","tmax_avdiff_fall",1.11346325210216
"tmax_max7rav_fall","tmax_max7rav_fall",1.09459668968206
"tmod_maxdiff_winter","tmod_maxdiff_winter",1.00725878505316
"tmax_avdiff_summer","tmax_avdiff_summer",0.993622552169768
"tmax_max7rav_summer","tmax_max7rav_summer",0.989044170370389
"tmod_maxdiff_spring","tmod_maxdiff_spring",0.947736095397316
"tmax_max7rmx_fall","tmax_max7rmx_fall",0.906056422209
"tmod_min7rmn_fall","tmod_min7rmn_fall",0.886132435119776
"tmax_min7rmn_summer","tmax_min7rmn_summer",0.874264012743368
"tmax_maxdiff_winter","tmax_maxdiff_winter",0.873126316653627
"tmod_maxdiff_fall","tmod_maxdiff_fall",0.857975407471021
"tmax_maxdiff_spring","tmax_maxdiff_spring",0.84736582176737
"tmax_maxdiff_fall","tmax_maxdiff_fall",0.838847382258899
"tmax_ab30count_all","tmax_ab30count_all",0.837643671543044
"tmax_min7rmn_spring","tmax_min7rmn_spring",0.802179937797411
"tmax_avdiff_winter","tmax_avdiff_winter",0.775624942219417
"tmax_max7rmx_winter","tmax_max7rmx_winter",0.710783987346846
"tmax_avdiff_all","tmax_avdiff_all",0.684362378530716
"tmax_max7rmx_summer","tmax_max7rmx_summer",0.659984224681145
"tmax_maxdiff_all","tmax_maxdiff_all",0.630010230660435
"tmax_ab30count_summer","tmax_ab30count_summer",0.483616505832286
"tmod_max7rav_summer","tmod_max7rav_summer",0.471087640039727
"tmod_maxdiff_all","tmod_maxdiff_all",0.460451100477773
"tmax_max7rav_winter","tmax_max7rav_winter",0.386726718701375
"tmod_max7rmx_summer","tmod_max7rmx_summer",0.377006532561081
"tmod_max7rav_fall","tmod_max7rav_fall",0.376613568162644
"tmax_ab30count_fall","tmax_ab30count_fall",0.121675699621476
"tmod_max7rav_all","tmod_max7rav_all",0.108668269589069
"tmax_max7rmx_all","tmax_max7rmx_all",0.104860483921553
"tmod_max7rmx_all","tmod_max7rmx_all",0.0980906820490176
"tmax_max7rav_all","tmax_max7rav_all",0.0811899205268697
"tmod_ab30count_winter","tmod_ab30count_winter",0
"tmax_ab30count_winter","tmax_ab30count_winter",0
"tmod_ab30count_spring","tmod_ab30count_spring",0
"tmax_ab30count_spring","tmax_ab30count_spring",0
"tmod_ab30count_summer","tmod_ab30count_summer",0
"tmod_ab30count_fall","tmod_ab30count_fall",0
"tmod_min7rmn_all","tmod_min7rmn_all",0
"tmax_min7rmn_all","tmax_min7rmn_all",0
"tmod_ab30count_all","tmod_ab30count_all",0
